"region";"år";"statistikkvariabel";"06913: Befolkning og endringer, etter region, år og statistikkvariabel"
"K_3101 Halden";"1951";"Befolkning 1. januar";23388
"K_3101 Halden";"1951";"Levendefødte";370
"K_3101 Halden";"1951";"Døde";187
"K_3101 Halden";"1952";"Befolkning 1. januar";23690
"K_3101 Halden";"1952";"Levendefødte";333
"K_3101 Halden";"1952";"Døde";250
"K_3101 Halden";"1953";"Befolkning 1. januar";24032
"K_3101 Halden";"1953";"Levendefødte";390
"K_3101 Halden";"1953";"Døde";256
"K_3101 Halden";"1954";"Befolkning 1. januar";24177
"K_3101 Halden";"1954";"Levendefødte";392
"K_3101 Halden";"1954";"Døde";227
"K_3101 Halden";"1955";"Befolkning 1. januar";24454
"K_3101 Halden";"1955";"Levendefødte";374
"K_3101 Halden";"1955";"Døde";257
"K_3101 Halden";"1956";"Befolkning 1. januar";24598
"K_3101 Halden";"1956";"Levendefødte";401
"K_3101 Halden";"1956";"Døde";266
"K_3101 Halden";"1957";"Befolkning 1. januar";24692
"K_3101 Halden";"1957";"Levendefødte";361
"K_3101 Halden";"1957";"Døde";267
"K_3101 Halden";"1958";"Befolkning 1. januar";24811
"K_3101 Halden";"1958";"Levendefødte";369
"K_3101 Halden";"1958";"Døde";242
"K_3101 Halden";"1959";"Befolkning 1. januar";25114
"K_3101 Halden";"1959";"Levendefødte";394
"K_3101 Halden";"1959";"Døde";259
"K_3101 Halden";"1960";"Befolkning 1. januar";25405
"K_3101 Halden";"1960";"Levendefødte";382
"K_3101 Halden";"1960";"Døde";299
"K_3101 Halden";"1961";"Befolkning 1. januar";25550
"K_3101 Halden";"1961";"Levendefødte";408
"K_3101 Halden";"1961";"Døde";256
"K_3101 Halden";"1962";"Befolkning 1. januar";25937
"K_3101 Halden";"1962";"Levendefødte";368
"K_3101 Halden";"1962";"Døde";282
"K_3101 Halden";"1963";"Befolkning 1. januar";25970
"K_3101 Halden";"1963";"Levendefødte";427
"K_3101 Halden";"1963";"Døde";322
"K_3101 Halden";"1964";"Befolkning 1. januar";26089
"K_3101 Halden";"1964";"Levendefødte";411
"K_3101 Halden";"1964";"Døde";286
"K_3101 Halden";"1965";"Befolkning 1. januar";26290
"K_3101 Halden";"1965";"Levendefødte";486
"K_3101 Halden";"1965";"Døde";285
"K_3101 Halden";"1966";"Befolkning 1. januar";26389
"K_3101 Halden";"1966";"Levendefødte";444
"K_3101 Halden";"1966";"Døde";312
"K_3101 Halden";"1967";"Befolkning 1. januar";26525
"K_3101 Halden";"1967";"Levendefødte";421
"K_3101 Halden";"1967";"Døde";306
"K_3101 Halden";"1968";"Befolkning 1. januar";26588
"K_3101 Halden";"1968";"Levendefødte";457
"K_3101 Halden";"1968";"Døde";324
"K_3101 Halden";"1969";"Befolkning 1. januar";26689
"K_3101 Halden";"1969";"Levendefødte";384
"K_3101 Halden";"1969";"Døde";323
"K_3101 Halden";"1970";"Befolkning 1. januar";26694
"K_3101 Halden";"1970";"Levendefødte";403
"K_3101 Halden";"1970";"Døde";321
"K_3101 Halden";"1971";"Befolkning 1. januar";26687
"K_3101 Halden";"1971";"Levendefødte";395
"K_3101 Halden";"1971";"Døde";311
"K_3101 Halden";"1972";"Befolkning 1. januar";27024
"K_3101 Halden";"1972";"Levendefødte";379
"K_3101 Halden";"1972";"Døde";328
"K_3101 Halden";"1973";"Befolkning 1. januar";26958
"K_3101 Halden";"1973";"Levendefødte";381
"K_3101 Halden";"1973";"Døde";319
"K_3101 Halden";"1974";"Befolkning 1. januar";27182
"K_3101 Halden";"1974";"Levendefødte";332
"K_3101 Halden";"1974";"Døde";359
"K_3101 Halden";"1975";"Befolkning 1. januar";27124
"K_3101 Halden";"1975";"Levendefødte";336
"K_3101 Halden";"1975";"Døde";330
"K_3101 Halden";"1976";"Befolkning 1. januar";27082
"K_3101 Halden";"1976";"Levendefødte";338
"K_3101 Halden";"1976";"Døde";327
"K_3101 Halden";"1977";"Befolkning 1. januar";27056
"K_3101 Halden";"1977";"Levendefødte";330
"K_3101 Halden";"1977";"Døde";330
"K_3101 Halden";"1978";"Befolkning 1. januar";26979
"K_3101 Halden";"1978";"Levendefødte";313
"K_3101 Halden";"1978";"Døde";320
"K_3101 Halden";"1979";"Befolkning 1. januar";26810
"K_3101 Halden";"1979";"Levendefødte";286
"K_3101 Halden";"1979";"Døde";343
"K_3101 Halden";"1980";"Befolkning 1. januar";26696
"K_3101 Halden";"1980";"Levendefødte";294
"K_3101 Halden";"1980";"Døde";350
"K_3101 Halden";"1981";"Befolkning 1. januar";26528
"K_3101 Halden";"1981";"Levendefødte";247
"K_3101 Halden";"1981";"Døde";344
"K_3101 Halden";"1982";"Befolkning 1. januar";26361
"K_3101 Halden";"1982";"Levendefødte";255
"K_3101 Halden";"1982";"Døde";316
"K_3101 Halden";"1983";"Befolkning 1. januar";26219
"K_3101 Halden";"1983";"Levendefødte";237
"K_3101 Halden";"1983";"Døde";324
"K_3101 Halden";"1984";"Befolkning 1. januar";26050
"K_3101 Halden";"1984";"Levendefødte";266
"K_3101 Halden";"1984";"Døde";341
"K_3101 Halden";"1985";"Befolkning 1. januar";25876
"K_3101 Halden";"1985";"Levendefødte";247
"K_3101 Halden";"1985";"Døde";333
"K_3101 Halden";"1986";"Befolkning 1. januar";25844
"K_3101 Halden";"1986";"Levendefødte";249
"K_3101 Halden";"1986";"Døde";309
"K_3101 Halden";"1987";"Befolkning 1. januar";25807
"K_3101 Halden";"1987";"Levendefødte";277
"K_3101 Halden";"1987";"Døde";369
"K_3101 Halden";"1988";"Befolkning 1. januar";25848
"K_3101 Halden";"1988";"Levendefødte";283
"K_3101 Halden";"1988";"Døde";320
"K_3101 Halden";"1989";"Befolkning 1. januar";25841
"K_3101 Halden";"1989";"Levendefødte";291
"K_3101 Halden";"1989";"Døde";336
"K_3101 Halden";"1990";"Befolkning 1. januar";25816
"K_3101 Halden";"1990";"Levendefødte";333
"K_3101 Halden";"1990";"Døde";358
"K_3101 Halden";"1991";"Befolkning 1. januar";25852
"K_3101 Halden";"1991";"Levendefødte";279
"K_3101 Halden";"1991";"Døde";339
"K_3101 Halden";"1992";"Befolkning 1. januar";25831
"K_3101 Halden";"1992";"Levendefødte";305
"K_3101 Halden";"1992";"Døde";348
"K_3101 Halden";"1993";"Befolkning 1. januar";25896
"K_3101 Halden";"1993";"Levendefødte";302
"K_3101 Halden";"1993";"Døde";374
"K_3101 Halden";"1994";"Befolkning 1. januar";25908
"K_3101 Halden";"1994";"Levendefødte";312
"K_3101 Halden";"1994";"Døde";336
"K_3101 Halden";"1995";"Befolkning 1. januar";25953
"K_3101 Halden";"1995";"Levendefødte";294
"K_3101 Halden";"1995";"Døde";327
"K_3101 Halden";"1996";"Befolkning 1. januar";26021
"K_3101 Halden";"1996";"Levendefødte";335
"K_3101 Halden";"1996";"Døde";308
"K_3101 Halden";"1997";"Befolkning 1. januar";26162
"K_3101 Halden";"1997";"Levendefødte";320
"K_3101 Halden";"1997";"Døde";288
"K_3101 Halden";"1998";"Befolkning 1. januar";26417
"K_3101 Halden";"1998";"Levendefødte";287
"K_3101 Halden";"1998";"Døde";338
"K_3101 Halden";"1999";"Befolkning 1. januar";26523
"K_3101 Halden";"1999";"Levendefødte";285
"K_3101 Halden";"1999";"Døde";337
"K_3101 Halden";"2000";"Befolkning 1. januar";26733
"K_3101 Halden";"2000";"Levendefødte";318
"K_3101 Halden";"2000";"Døde";301
"K_3101 Halden";"2001";"Befolkning 1. januar";27133
"K_3101 Halden";"2001";"Levendefødte";327
"K_3101 Halden";"2001";"Døde";319
"K_3101 Halden";"2002";"Befolkning 1. januar";27204
"K_3101 Halden";"2002";"Levendefødte";316
"K_3101 Halden";"2002";"Døde";309
"K_3101 Halden";"2003";"Befolkning 1. januar";27438
"K_3101 Halden";"2003";"Levendefødte";299
"K_3101 Halden";"2003";"Døde";311
"K_3101 Halden";"2004";"Befolkning 1. januar";27464
"K_3101 Halden";"2004";"Levendefødte";313
"K_3101 Halden";"2004";"Døde";308
"K_3101 Halden";"2005";"Befolkning 1. januar";27582
"K_3101 Halden";"2005";"Levendefødte";271
"K_3101 Halden";"2005";"Døde";303
"K_3101 Halden";"2006";"Befolkning 1. januar";27722
"K_3101 Halden";"2006";"Levendefødte";283
"K_3101 Halden";"2006";"Døde";290
"K_3101 Halden";"2007";"Befolkning 1. januar";27835
"K_3101 Halden";"2007";"Levendefødte";297
"K_3101 Halden";"2007";"Døde";284
"K_3101 Halden";"2008";"Befolkning 1. januar";28092
"K_3101 Halden";"2008";"Levendefødte";314
"K_3101 Halden";"2008";"Døde";296
"K_3101 Halden";"2009";"Befolkning 1. januar";28389
"K_3101 Halden";"2009";"Levendefødte";305
"K_3101 Halden";"2009";"Døde";258
"K_3101 Halden";"2010";"Befolkning 1. januar";28776
"K_3101 Halden";"2010";"Levendefødte";317
"K_3101 Halden";"2010";"Døde";314
"K_3101 Halden";"2011";"Befolkning 1. januar";29220
"K_3101 Halden";"2011";"Levendefødte";290
"K_3101 Halden";"2011";"Døde";332
"K_3101 Halden";"2012";"Befolkning 1. januar";29543
"K_3101 Halden";"2012";"Levendefødte";296
"K_3101 Halden";"2012";"Døde";298
"K_3101 Halden";"2013";"Befolkning 1. januar";29880
"K_3101 Halden";"2013";"Levendefødte";295
"K_3101 Halden";"2013";"Døde";303
"K_3101 Halden";"2014";"Befolkning 1. januar";30132
"K_3101 Halden";"2014";"Levendefødte";297
"K_3101 Halden";"2014";"Døde";326
"K_3101 Halden";"2015";"Befolkning 1. januar";30328
"K_3101 Halden";"2015";"Levendefødte";288
"K_3101 Halden";"2015";"Døde";319
"K_3101 Halden";"2016";"Befolkning 1. januar";30544
"K_3101 Halden";"2016";"Levendefødte";300
"K_3101 Halden";"2016";"Døde";273
"K_3101 Halden";"2017";"Befolkning 1. januar";30790
"K_3101 Halden";"2017";"Levendefødte";306
"K_3101 Halden";"2017";"Døde";267
"K_3101 Halden";"2018";"Befolkning 1. januar";31037
"K_3101 Halden";"2018";"Levendefødte";243
"K_3101 Halden";"2018";"Døde";278
"K_3101 Halden";"2019";"Befolkning 1. januar";31177
"K_3101 Halden";"2019";"Levendefødte";257
"K_3101 Halden";"2019";"Døde";299
"K_3101 Halden";"2020";"Befolkning 1. januar";31373
"K_3101 Halden";"2020";"Levendefødte";254
"K_3101 Halden";"2020";"Døde";284
"K_3101 Halden";"2021";"Befolkning 1. januar";31387
"K_3101 Halden";"2021";"Levendefødte";260
"K_3101 Halden";"2021";"Døde";311
"K_3101 Halden";"2022";"Befolkning 1. januar";31444
"K_3101 Halden";"2022";"Levendefødte";226
"K_3101 Halden";"2022";"Døde";298
"K_3101 Halden";"2023";"Befolkning 1. januar";31730
"K_3101 Halden";"2023";"Levendefødte";284
"K_3101 Halden";"2023";"Døde";311
"K_3101 Halden";"2024";"Befolkning 1. januar";31935
"K_3101 Halden";"2024";"Levendefødte";..
"K_3101 Halden";"2024";"Døde";..
"K_3103 Moss";"1951";"Befolkning 1. januar";23111
"K_3103 Moss";"1951";"Levendefødte";411
"K_3103 Moss";"1951";"Døde";198
"K_3103 Moss";"1952";"Befolkning 1. januar";23422
"K_3103 Moss";"1952";"Levendefødte";420
"K_3103 Moss";"1952";"Døde";204
"K_3103 Moss";"1953";"Befolkning 1. januar";23577
"K_3103 Moss";"1953";"Levendefødte";430
"K_3103 Moss";"1953";"Døde";201
"K_3103 Moss";"1954";"Befolkning 1. januar";23948
"K_3103 Moss";"1954";"Levendefødte";418
"K_3103 Moss";"1954";"Døde";168
"K_3103 Moss";"1955";"Befolkning 1. januar";24505
"K_3103 Moss";"1955";"Levendefødte";450
"K_3103 Moss";"1955";"Døde";199
"K_3103 Moss";"1956";"Befolkning 1. januar";25279
"K_3103 Moss";"1956";"Levendefødte";439
"K_3103 Moss";"1956";"Døde";223
"K_3103 Moss";"1957";"Befolkning 1. januar";25871
"K_3103 Moss";"1957";"Levendefødte";454
"K_3103 Moss";"1957";"Døde";184
"K_3103 Moss";"1958";"Befolkning 1. januar";26381
"K_3103 Moss";"1958";"Levendefødte";433
"K_3103 Moss";"1958";"Døde";261
"K_3103 Moss";"1959";"Befolkning 1. januar";26861
"K_3103 Moss";"1959";"Levendefødte";518
"K_3103 Moss";"1959";"Døde";200
"K_3103 Moss";"1960";"Befolkning 1. januar";27510
"K_3103 Moss";"1960";"Levendefødte";451
"K_3103 Moss";"1960";"Døde";206
"K_3103 Moss";"1961";"Befolkning 1. januar";28012
"K_3103 Moss";"1961";"Levendefødte";514
"K_3103 Moss";"1961";"Døde";225
"K_3103 Moss";"1962";"Befolkning 1. januar";28771
"K_3103 Moss";"1962";"Levendefødte";513
"K_3103 Moss";"1962";"Døde";274
"K_3103 Moss";"1963";"Befolkning 1. januar";29368
"K_3103 Moss";"1963";"Levendefødte";521
